encoding_dim,dropout,auc_roc,auc_pr,f1,precision,recall,fpr,epochs_run,fit_s,err_legit,err_phish
5,0.0,0.899,0.8293,0.9208,0.8846,0.9601,0.168,100,57.8,0.13225,0.21316
12,0.1,0.8541,0.7888,0.8965,0.853,0.9448,0.2185,45,29.3,0.18105,0.22031
12,0.0,0.8394,0.7793,0.8786,0.8111,0.9583,0.2994,71,41.7,0.07215,0.06255
10,0.1,0.8216,0.7557,0.8852,0.8364,0.9401,0.2467,70,41.9,0.18356,0.20949
5,0.1,0.8144,0.7384,0.8796,0.8263,0.9404,0.2652,90,54.2,0.20283,0.23048
8,0.1,0.8092,0.7436,0.8769,0.8106,0.9551,0.2993,42,27.5,0.20432,0.2106
3,0.0,0.7645,0.6957,0.8759,0.8041,0.9618,0.3143,100,56.3,0.35603,0.33465
8,0.0,0.7382,0.7056,0.8094,0.7178,0.9278,0.4894,100,57.3,0.05931,0.04064
3,0.1,0.709,0.6469,0.859,0.7739,0.9651,0.3782,76,45.8,0.33688,0.25974
10,0.0,0.6511,0.6599,0.7173,0.6643,0.7795,0.5285,52,31.1,0.06288,0.02458
